created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 18:04:30 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",c,0.0,0.0,en,23,7.0,champlainlhin,2721,1252,,,,Eastern Ontario 
Fri Jun 18 18:04:44 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",r,0.0,0.0,en,13,10.0,wordwarrior16,1368,843,,,,
Fri Jun 18 18:04:56 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",o,0.0,0.0,en,2,3.0,Phoeniciankeith,1469,2175,,,,"Glamorgan, Wales"
Fri Jun 18 18:05:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",s,0.0,0.0,en,540,351.0,DyingtoL,141,340,,,,around
Fri Jun 18 18:05:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",s,0.0,0.0,en,7,3.0,StarColombo,2675,4924,,,,
Fri Jun 18 18:05:04 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>", ,0.0,0.0,en,0,,Vaxyourfam,8537,2237,False,,,United States
Fri Jun 18 18:05:06 +0000 2021,"<a href=""http://naattuvartha.byethost33.com"" rel=""nofollow"">Naattuvartha</a>",t,0.0,0.0,en,0,1.0,viralvideovlogs,6856,4582,False,,,കേരളം
Fri Jun 18 18:05:08 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",h,0.0,0.0,en,264,241.0,environments21,69,164,,,,Mumbai
Fri Jun 18 18:05:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",e,0.0,0.0,en,0,,_LadyAzalea,1253,520,,,,Trinidad and Tobago
Fri Jun 18 18:05:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", ,0.0,0.0,en,221,99.0,abigail_energy,2047,5000,,,,"Brighton, UK"
Fri Jun 18 18:05:23 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",c,0.0,0.0,en,0,,QuizzicalGirl,2753,2831,,,,Geeks Resist Headquarters 🇨🇦
